product_id,sku,name,category,price,is_active
73,SKU0073,Prod73,Clothing,4809.46,False
74,SKU0074,Prod74,Books,4863.2,True
75,SKU0075,Prod75,Electronics,4674.18,False
76,SKU0076,Prod76,Clothing,3029.55,False
77,SKU0077,Prod77,Clothing,4227.95,True
78,SKU0078,Prod78,Books,4219.35,False
79,SKU0079,Prod79,Electronics,890.94,True
80,SKU0080,Prod80,Clothing,539.6,True
81,SKU0081,Prod81,Electronics,3652.86,False
82,SKU0082,Prod82,Clothing,1133.17,False
83,SKU0083,Prod83,Books,4732.5,False
84,SKU0084,Prod84,Books,2318.32,True
85,SKU0085,Prod85,Books,4916.81,False
86,SKU0086,Prod86,Electronics,2353.02,False
87,SKU0087,Prod87,Electronics,4578.69,True
88,SKU0088,Prod88,Books,4619.06,False
89,SKU0089,Prod89,Electronics,4517.08,True
90,SKU0090,Prod90,Clothing,2823.37,False
91,SKU0091,Prod91,Clothing,2736.84,True
92,SKU0092,Prod92,Books,251.64,False
93,SKU0093,Prod93,Books,704.74,False
94,SKU0094,Prod94,Books,1854.03,True
95,SKU0095,Prod95,Books,4920.6,True
96,SKU0096,Prod96,Clothing,1915.36,True
97,SKU0097,Prod97,Clothing,145.88,True
98,SKU0098,Prod98,Clothing,3434.72,False
99,SKU0099,Prod99,Electronics,540.84,False
100,SKU0100,Prod100,Books,1183.62,False
101,SKU0101,Prod101,Clothing,280.3,False
102,SKU0102,Prod102,Books,3564.14,True
103,SKU0103,Prod103,Electronics,1060.83,False
104,SKU0104,Prod104,Electronics,4362.59,False
105,SKU0105,Prod105,Electronics,2803.75,True
106,SKU0106,Prod106,Electronics,2982.01,True
107,SKU0107,Prod107,Electronics,1372.16,True
108,SKU0108,Prod108,Books,3671.6,False
109,SKU0109,Prod109,Electronics,4253.57,True
110,SKU0110,Prod110,Books,3420.9,False
111,SKU0111,Prod111,Books,2844.57,False
112,SKU0112,Prod112,Electronics,4695.66,True
113,SKU0113,Prod113,Clothing,2219.49,False
114,SKU0114,Prod114,Clothing,696.42,False
115,SKU0115,Prod115,Clothing,1871.21,True
116,SKU0116,Prod116,Books,1200.29,False
117,SKU0117,Prod117,Clothing,2708.81,False
118,SKU0118,Prod118,Electronics,2020.11,False
119,SKU0119,Prod119,Electronics,4412.48,True
120,SKU0120,Prod120,Books,1205.58,False
